genre,sub_genre,artist,album,song,ntQ,ntG,ntV,ntR,ntS,ntGl,ntRx,ntC,ntL
Metal,Doom/Stoner,Black Sabbath,Black Sabbath,Black Sabbath,"8,5","8,75",,,,"7,25",,,
Metal,Blues Rock,Black Sabbath,Black Sabbath,Evil Woman,"7,5",,,,,,,,
Metal,Stoner,Black Sabbath,Black Sabbath,N.I.B,9,9,,,,,,,
Metal,,Black Sabbath,Black Sabbath,Sleeping Village,"7,75",,,,,,,,
Metal,Blues Rock,Black Sabbath,Black Sabbath,The Wizard,8,,,,,"7,5",,,
Metal,Blues Rock,Black Sabbath,Black Sabbath,Warning,7,,,,,,,,
Metal,Doom Metal,Black Sabbath,Master of Reality,Into the Void,"7,75",,,,,,,,
Metal,Stoner,Black Sabbath,Paranoid,Electric Funeral,"8,5","8,5",,,,,,,
Metal,Stoner,Black Sabbath,Paranoid,Fairies Wear Boots,"7,75","7,5",,,,,,,
Metal,Stoner,Black Sabbath,Paranoid,Hand of Doom,"8,25","7,75",,,,,,,
Metal,Stoner,Black Sabbath,Paranoid,Iron Man,"8,5",9,,,,,,,
Metal,Stoner,Black Sabbath,Paranoid,Paranoid,"8,75",9,,,,,,,
Metal,Stoner,Black Sabbath,Paranoid,Planet Caravan,"8,5","8,75",,,,,,,
Metal,Stoner,Black Sabbath,Paranoid,Rat Salad,"7,75",7,,,,,,,
Metal,Stoner,Black Sabbath,Paranoid,War Pigs,9,9,,,,,,,
Rock,Indie,Bloc Party,Silent Alarm,Banquet,"7,75",,,,,,,,
Rock,Hard Rock,Blue Öyster Cult,Agents of Fortune,(Don't Fear) The Reaper,"8,25",,,"7,5",,,,,
Disco,,Boney M.,Nightflight to Venus,He Was a Steppenwolf,"7,75",,,,,,,,
Disco,,Boney M.,Nightflight to Venus,Nightflight to Venus,5,,,,,,,,
Disco,,Boney M.,Nightflight to Venus,Painter Man,"7,75",,,,,,,,
Disco,,Boney M.,Nightflight to Venus,Rasputin,9,,8,"7,8",,,,,
House,,Breakbot,By Your Side,Baby I'm Yours,"8,25",,,,,,,,
Funk,Rock,Breakwater,Splashdown,Release The Beast,"8,5",,,,,,,,
Rock,,Bruce Springsteen,Born to Run,Thunder Road,"7,75",,?,,,,,,
Disco,Funk,Bruno Mars,Unorthodox Jukebox,Treasure,"3,25",,,,,,,,
Metal,Metalcore,Bullet for My Valentine,Hand of Blood,Hand of Blood,"7,75",,,,,,,,
Metal,Metalcore,Butcher Babies,Lilith,The Huntsman,4,,3,,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Aight,,,7,,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Baby Funk,,,"6,5",,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Bout du Tunnel,,,7,,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,C'est Aussi Simple Que Ça,,,9,,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Chiens des Villes,,,7,,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Discret Mais Efficace,,,6,,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Flottements,,,8,,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Foume Ça,,,7,,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Il Suffit,,,6,,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Inner Demons,,,8,,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Le Freestyle de la Cigarette Fumante,,,9,,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Maille du Filet,,,8,,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Médaille d'Or,,,5,,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Medley Goku,,,"8,5",,,,,,"9,25"
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Medley Végéta,,,"7,75",,,,,,9
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Mission Accomplie,,,"6,5",,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Otaku,,,"8,5",,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Patinoire,,,7,,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Profondeurs,,,7,,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Qu'est-ce que tu nous Proposes?,,,"7,5",,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Sortez couverts,,,7,,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Téléportation,,,6,,,,,,
Hip Hop,,Caballero,Laisse Nous Faire Vol.1,Viens Voir,,,6,,,,,,
Rock,Indie,Cake,Fashion Nugget,The Distance,9,,?,,,,,,
Pop,,Carpenters,Horizon,Please Mr. Postman,"7,5",,,"8,3",7,,,,
Jazz,Jazz Fusion,Casiopea,Crosspoint,Galactic Funk,9,,,,,,,,
Jazz,Jazz Fusion,Casiopea,Mint Jams,Swear!,"9,25",,,,,"8,5",,,
Jazz,,Chet Baker,Chet Baker & Strings,I Married An Angel,"7,25",,,,,,,,
Jazz,,Chet Baker,Strollin',Strollin',8,,8,,,,,,
Rock,,Chicago,Chicago,25 or 6 to 4,8,,"8,5",,,,,,"8,25"
Jazz,Jazz Fusion,Chick Corea,Friends,Friends,"8,25",,,,8,,,,
Jazz,Jazz Fusion,Chick Corea,Light as a Feather,Spain,"8,5",,,,,,,,
Rap,,Chinese Man,The Groove Sessions Vol. 5,Hold Tight,6,,6,"7,6",,,,"7,75",
Rock,Indie,Choir Boy,Complainer,Complainer,"5,5",,,,,,,,
Chanson,,Claude François,C'est la Même Chanson,C'est la même chanson,,"7,5",,,,,,,
Chanson,,Claude François,Chanson Populaire,Chanson Populaire (ça s'en va et ça revient),"8,25",8,,,,,,,
Chanson,,Claude François,Chansons françaises,17 ans,,"8,25",,,,,,,
Disco,,Claude François,Claude François,Je vais à Rio,7,8,,,,,,,
Chanson,,Claude François,Claude François,Toi et le soleil,,"8,5",,,,,,,
Chanson,,Claude François,Comme D'Habitude,Comme D'Habitude,"8,5","8,75",,,,,,,
Chanson,,Claude François,"Il fait beau, il fait bon","Il fait beau, il fait bon",,"7,75",,,,,,,
Chanson,,Claude François,J'attendrai,J'attendrai,,"8,75",,,,,,,
Chanson,,Claude François,Le chanteur malheureux,La musique américaine,"8,25",8,,,,,,,
Chanson,,Claude François,Le chanteur malheureux,Le chanteur malheureux,"6,75","8,75",,,,,,,
Chanson,,Claude François,Le Lundi au Soleil,Bélinda,8,"7,25",,,,,,,
Chanson,,Claude François,Le Lundi au Soleil,Le lundi au soleil,"8,75","8,75",,,,,,,
Chanson,,Claude François,Le téléphone pleure,Le mal aimé,,"8,25",,,,,,,
Chanson,,Claude François,Le téléphone pleure,Le téléphone pleure,4,"7,75",,,,,,,
Chanson,,Claude François,Le Vagabond,Cette année-là,8,"8,25",,,,,,,
Chanson,,Claude François,Le Vagabond,Le Vagabond,,"6,5",,,,,,,
Disco,,Claude François,Magnolias For Ever,Alexandrie Alexandra,"7,75","7,75",,,,,,,
Disco,,Claude François,Magnolias For Ever,Magnolias For Ever,"7,5",8,,,,,,,
Chanson,,Claude François,Même si tu revenais,Je sais,,8,,,,,,,
Chanson,,Claude François,Même si tu revenais,Même si tu revenais,,"8,5",,,,,,,
Chanson,,Claude François,Si j'avais un marteau,Belles belles belles,"7,75","7,5",,,,,,,
Chanson,,Claude François,Si j'avais un marteau,Si j'avais un marteau,6,"6,5",,,,,,,
Pop,Rock,Coldplay,A Rush of Blood to the Head,The Scientist,"6,5",,8,,,6,,,
Rock,Blues Rock,Cream,Disraeli Gears,Sunshine Of Your Love,8,,,,,,,,
Rock,Roots Rock,Creedence Clearwater Revival,Bayou Country,Born on the Bayou,"8,25",,8,,,,,,
Rock,Roots Rock,Creedence Clearwater Revival,Cosmo's Factory,I Heard It Through The Grapevine,"9,5","8,75","8,5",,,,,,
Rock,Roots Rock,Creedence Clearwater Revival,Green River,Green River,"8,75",,9,,,,,,
Rock,Hard Rock,Creedence Clearwater Revival,Willy and the Poor Boys,Fortunate Son,8,,,,,,,,
House,Disco,Daft Punk,Discovery,Aerodynamic,9,"8,25","8,75",,10,,,,
House,Disco,Daft Punk,Discovery,Crescendolls,8,"7,5",7,,,,,,
House,Disco,Daft Punk,Discovery,Digital Love,"7,75",8,7,,10,,,,
House,Disco,Daft Punk,Discovery,Face to Face,5,"6,5","7,5",,,,,,
House,Disco,Daft Punk,Discovery,"Harder, Better, Faster, Stronger","8,5","8,5",9,"7,8",10,,,,
House,Disco,Daft Punk,Discovery,High Life,"7,75",8,"8,5",,,,,,
House,Disco,Daft Punk,Discovery,Nightvision,"7,5","6,5","7,5",,,,,,
House,Disco,Daft Punk,Discovery,One More Time,6,"7,5","6,5","7,2",5,,,,
House,Disco,Daft Punk,Discovery,Short Circuit,"8,5","7,5","8,75",,,,,,
House,Disco,Daft Punk,Discovery,Something About Us,8,8,"7,75",,,,,,
House,Disco,Daft Punk,Discovery,Superheroes,"7,25","8,5","8,5",,,,,,
House,Disco,Daft Punk,Discovery,Too Long,"5,75",7,7,,,,,,
House,Disco,Daft Punk,Discovery,Veridis Quo,9,"8,75","8,5",,,,,,
House,Disco,Daft Punk,Discovery,Voyager,8,8,8,,,,,,
Disco,House,Daft Punk,Random Access Memories,Beyond,,,"8,5",,,,,,
Disco,House,Daft Punk,Random Access Memories,Contact,6,,8,,,,,,
Disco,House,Daft Punk,Random Access Memories,Doin' It Right,"8,25",,6,"6,2",,,,,
Disco,House,Daft Punk,Random Access Memories,Fragments of Time,8,,"7,5",,,,,,
Disco,House,Daft Punk,Random Access Memories,Get Lucky,8,,"8,5",,,,,,
House,Funk,Daft Punk,Random Access Memories,Giorgio By Moroder,9,,9,,,,,,
Disco,House,Daft Punk,Random Access Memories,Give Life Back to Music,"8,75",,9,,,,,,
Disco,House,Daft Punk,Random Access Memories,Instant Crush,"7,75",,8,,,,,,
Disco,House,Daft Punk,Random Access Memories,Lose Yourself to Dance,"8,75",,"8,5",,,,,,
Disco,House,Daft Punk,Random Access Memories,Motherboard,"7,5",,8,,,,,,
Disco,House,Daft Punk,Random Access Memories,The Game of Love,7,,7,,,,,,
Disco,House,Daft Punk,Random Access Memories,Touch,"7,75",,8,,,,,,
Disco,House,Daft Punk,Random Access Memories,Within,"6,5",,7,,,,,,
Rock,Glam Rock,David Bowie,Hunky Dory,Life on Mars,"9,5","9,5","8,5","9,2",,,,,
Pop,Synth Pop,Dead Or Alive,Youthquake,You Spin Me Round (Like a Record),"8,75","8,75",,,,,,,
Disco,,Début de Soirée,Jardins d'enfants,Nuit de Folie,"8,75",,4,,,,,,
Rock,Heavy Metal,Deep Purple,Burn,Burn,"8,5",,,,,,,,
Rock,Heavy Metal,Deep Purple,Burn,You Fool No One,"7,5",,,,,,,,
Metal,Progressive,Deep Purple,Deep Purple in Rock,Child In Time,9,,,,,,,,
Rock,Glam,Def Leppard,Pyromania,Photograph,"7,75",,"6,5",,,,,,
Pop,Synth Pop,Depeche Mode,Playing the Angel,Precious,6,,,,,,,,
Rock,Blues Rock,Derek and the Dominos,Layla and Other Assorted Love Songs,Layla,"9,5",,,,,,,,
Rock,Punk,Die Ärzte,Auch,Ist das noch Punkrock?,"7,75",,,?,,,,?,
Hip Hop,,Dinos,Taciturne,Arob@se,2,,"3,75",,,,,,
Rock,,Dire Straits,Brothers In Arms,Brothers In Arms,"7,5",,9,,,,,,
Rock,Pop Rock,Dire Straits,Brothers In Arms,Money For Nothing,9,,8,,,,,,
Rock,Roots Rock,Dire Straits,Communiqué,Single Handed Sailor,9,,,,,,,,
Rock,,Dire Straits,Dire Straits,Sultans Of Swing,10,,?,,,,,,
Rock,Roots Rock,Dire Straits,Love Over Gold,Industrial Disease,8,,,,,,,,
Rock,Roots Rock,Dire Straits,Love Over Gold,It Never Rains,6,,,,,,,,
Rock,Roots Rock,Dire Straits,Love Over Gold,Love Over Gold,"6,5",,,,,,,,
Rock,Roots Rock,Dire Straits,Love Over Gold,Private Investigations,"6,75",,,"7,5",10,,,,
Rock,Progressive,Dire Straits,Love Over Gold,Telegraph Road,10,,"8,5","7,4",8,,,,
Rock,,Dire Straits,Making Movies,Romeo And Juliet,"8,5",,,,,,,,
Rock,Roots Rock,Dire Straits,Making Movies,Tunnel Of Love,"9,25",,,,,,,,
Rock,Roots Rock,Dire Straits,On Every Street,Calling Elvis,"7,5",,,,,,,,
Rock,Roots Rock,Dire Straits,On Every Street,Heavy Fuel,"8,25",,,,,,,,
Rock,Roots Rock,Dire Straits,On Every Street,Planet Of New Orleans,"7,75",,,,,,,,
Hip Hop,,Disiz La Peste,"Le collector, Vol. 1",J'pète les plombs,?,?,?,,,,,,8
Hip Hop,,Disiz La Peste,Rap Machine,Les 10 Commandements du MC,,,,,,,,,8
Rap,Gangsta,DMX,Cradle 2 the Grave,X Gon' Give It to Ya,"8,5",,8,,,,,,
Metal,Doom/Gothic,Draconian,Turning Season Within,Bloodflower,"8,5","8,5",,,10,,,,
Metal,Doom/Gothic,Draconian,Turning Season Within,Earthbound,"7,5",7,,,5,,,,
Metal,Doom/Gothic,Draconian,Turning Season Within,Morphine Cloud,"7,5",7,,,7,,,,
Metal,Doom/Gothic,Draconian,Turning Season Within,Not Breathing,8,"8,25",,,8,,,,
Metal,Doom/Gothic,Draconian,Turning Season Within,Seasons Apart,"8,5","8,5",,,9,,,,
Metal,Doom/Gothic,Draconian,Turning Season Within,The Empy Stare / September Ashes,"8,75","7,5",,,6,,,,
Metal,Doom/Gothic,Draconian,Turning Season Within,The Failure Epiphany,"7,75","7,75",,,7,,,,
Metal,Doom/Gothic,Draconian,Turning Season Within,When I Wake,7,8,,,5,,,,
Disco,Funk,"Earth, Wind & Fire",N/A,September,"9,25",,,,,,,,
Rock,Indie,Editors,The Back Room,Munich,"7,5",,,,,,,,
Metal,Industrial,Eisbrecher,Sturmfahrt,Was ist hier los?,8,,,"8,7",,,,,
Disco,,Electric Light Orchestra,Discovery,Last Train to London,"7,75",,,,,,,,
Metal,Stoner,Electric Wizard,Dopethrone,Funeralopolis,"6,5","8,75",,,,,,,
Rock,Progressive,"Emerson, Lake & Palmer",Tarkus,Tarkus,"7,25",,"7,5",,,,,,
Rock,,Eric Burdon,When I Was Young,Colour Of The Sunset,"7,5",,,,,,,,
Rock,,Eric Clapton,Slowhand,Cocaine,"8,25",,,,,,,,
Rock,Acoustic,Eric Clapton,Unplugged,Layla,10,,"9,75",,,,,,
Metal,Folk,Feuerschwanz,,Hurra Hurra Die Pest ist da!,"7,75",,"8,5","9,6",,,,,
Disco,Funk,Flamingosis,A Groovy Thing,A Groovy Intro,"7,75",,7,,,,,,
Disco,Funk,Flamingosis,A Groovy Thing,A Groovy Thing,8,,5,,,,,,
Disco,Funk,Flamingosis,A Groovy Thing,Breezy,"7,75",,,,,,,,
Disco,Funk,Flamingosis,A Groovy Thing,Come & Get it,8,,"6,5",,,,,,
Disco,Funk,Flamingosis,A Groovy Thing,Don’t Lose the Feeling,8,,8,,,,,,
Disco,Funk,Flamingosis,A Groovy Thing,Flute Salad,"7,75",,7,,,,,,
Disco,Funk,Flamingosis,A Groovy Thing,Get Yourself Together,8,,,,,,,,
Disco,Funk,Flamingosis,A Groovy Thing,Guilty Pleasure,"8,5",,,,,,,,
Disco,Funk,Flamingosis,A Groovy Thing,High Tide,8,,,,,,,,
Disco,Funk,Flamingosis,A Groovy Thing,Keep Shining,"7,25",,6,,,,,,
Disco,Funk,Flamingosis,A Groovy Thing,Long Distance,"7,5",,7,,,,,,
Disco,Funk,Flamingosis,A Groovy Thing,Never Felt a Feeling Like This,"7,5",,,,,,,,
Disco,Funk,Flamingosis,A Groovy Thing,Not Like the Others,8,,,,,,,,
Disco,Funk,Flamingosis,A Groovy Thing,Otaku Mode,"8,25",,"7,5",,,,,,
Disco,Funk,Flamingosis,A Groovy Thing,Persevere,"8,25",,"8,5",,,,,,
Disco,Funk,Flamingosis,A Groovy Thing,Soul Crusade,"8,5",,,,,,,,
Disco,Funk,Flamingosis,A Groovy Thing,That’s Cold,"7,5",,"7,5",,,,,,
Disco,Funk,Flamingosis,A Groovy Thing,Want Me (Need Me),"7,75",,"7,5",,,,,,
Rock,Blues Rock,Fleetwood Mac,Rumours,The Chain,8,,,,,,,,
Funk,Pop,François Valéry,Mon pote le DJ,Mon pote le DJ,"8,5",?,8,?,?,"7,25",?,?,"6,5"
Rock,Indie,Franz Ferdinand,Franz Ferdinand,Take Me Out,8,,,,,,,,
Yodel,,Franzl Lang,N/A,Auf und auf voll Lebenslust,8,,"6,75",?,,,,?,
Rock,Hard Rock,Free,The Free Story,All Right Now,"7,5",,,,,,,,
Dance,Electro,French 79,Olympic,1979,6,,5,,,,,,
Dance,Electro,French 79,Olympic,After Party,"7,5",,"8,5",,,,,,
Dance,Electro,French 79,Olympic,Between The Buttons,"6,75",,"8,5",,,,,,
Dance,Electro,French 79,Olympic,DDROPP,7,,6,,,,,,
Dance,Electro,French 79,Olympic,Diamond Veins,8,,6,,,,,,
Dance,Electro,French 79,Olympic,Golden Times,"6,5",,"8,5",,,,,,
Dance,Electro,French 79,Olympic,Hush Hush,5,,8,,,,,,
Dance,Electro,French 79,Olympic,Invisible Moon,"6,25",,7,,,,,,
Dance,Electro,French 79,Olympic,Lovin' Feeling,"5,5",,6,,,,,,
Dance,Electro,French 79,Olympic,Olympic,"7,5",,8,,,,,,
Dance,Electro,French 79,Olympic,Pantheon Neon,"7,75",,7,,,,,,
Dance,Electro,French 79,Olympic,Vertigo Valley,"8,25",,7,,,,,,
Rock,Indie Rock,From Indian Lakes,Everything Feels Better Now,Blank Tapes,"7,25",,6,,,,,,
Dub,,Full Dub,Rewind,La Danse Des Parasites,"1,25",,5,"8,1",,,,"8,75",
Rock,Progressive,Genesis,Selling England by the Pound,After the Ordeal,"7,5",,8,,4,,,,
Rock,Progressive,Genesis,Selling England by the Pound,Aisle of Plenty,"8,5",,,,10,,,,
Rock,Progressive,Genesis,Selling England by the Pound,Dancing with the Moonlit Knight,"8,75",,,,10,,,,
Rock,Progressive,Genesis,Selling England by the Pound,Firth of Fifth,"8,5",,,,10,,,,
Rock,Progressive,Genesis,Selling England by the Pound,I Know What I Like (In Your Wardrobe),"8,5",,,,5,,,,
Rock,Progressive,Genesis,Selling England by the Pound,More Fool Me,"8,25",,,,10,,,,
Rock,Progressive,Genesis,Selling England by the Pound,The Battle of Epping Forest,"8,25",,,,8,,,,
Rock,Progressive,Genesis,Selling England by the Pound,The Cinema Show,8,,,,10,,,,
Jazz,Groove,George Benson,Breezin',Affirmation,"8,25",,"8,5",,,"9,25",,,
Funk,Soul,George Benson,Give Me the Night,Give Me the Night,"9,25",,,,,10,,,
Jazz,Smooth Jazz,George Duke,After Hours,It's On,"9,5",,,,,9,,,
Chanson,,Georges Brassens,Le Pornographe,Le Pornographe,"8,5",,,,,"8,5",,,
Chanson,,Georges Brassens,Le Vent,Brave Margot,"8,75",,,"8,5",,"8,5",,,
Chanson,,Georges Brassens,Les Copains D'Abord,Les 4 z'arts,"7,75",,"7,5",,,,,,
Chanson,,Georges Brassens,Les Copains D'Abord,Les Copains d'abord,"9,25",,8,"0,5",,,,0,
Chanson,,Georges Brassens,Les Funérailles d'antan,Le Bistrot,"8,5",,8,,,"8,5",,,
Metal,Doom,Ghost,Meliora,Absolution,"7,75","7,5","6,5",,,,,,
Metal,Doom,Ghost,Meliora,Cirice,"9,25","9,25",8,"7,7",,"8,5",,,
Metal,Doom,Ghost,Meliora,Deus in Absentia,7,8,"7,5",,,,,,
Metal,Doom,Ghost,Meliora,Devil Church,"6,5",7,"6,5",,,,,,
Metal,Doom,Ghost,Meliora,From the Pinnacle to the Pit,9,9,"8,5","7,6",,,,,
Metal,Doom,Ghost,Meliora,He is,"8,5",8,"8,5","7,7",,,,,
Metal,Doom,Ghost,Meliora,Majesty,"7,5","7,5","7,5",,,,,,
Metal,Doom,Ghost,Meliora,Mummy Dust,"7,75","8,75","8,25",,,,,,
Metal,Doom,Ghost,Meliora,Spirit,8,"8,75",8,,,,,,
Metal,Doom,Ghost,Meliora,Spöksonat,"6,75",7,6,,,,,,
Rock,Heavy Metal,Ghost,Popestar,Square Hammer,"8,25",,,,,,,,
Disco,,Gloria Gaynor,Love Tracks,I Will Survive,"8,5",,,"8,3",8,,,,
Jazz,Electronica,GoGo Penguin,Man Made Object,Unspeakable Word,"7,75",,,,,,,,
Metal,Technical Death,Gojira,From Mars To Sirius,Backbone,"9,25",9,"5,5",,5,,,,
Metal,Technical Death,Gojira,From Mars To Sirius,Flying Whales,"9,5","9,25",,"9,3",10,,,,
Metal,Technical Death,Gojira,From Mars To Sirius,From Mars,"7,75","8,5",6,,,,,,
Metal,Technical Death,Gojira,From Mars To Sirius,From the Sky,"8,25","8,75","5,5",,7,,,,7.89
Metal,Technical Death,Gojira,From Mars To Sirius,Global Warming,9,9,"7,75",,9,,,,
Metal,Technical Death,Gojira,From Mars To Sirius,In the Wilderness,7,"8,5",6,,,,,,
Metal,Technical Death,Gojira,From Mars To Sirius,Ocean Planet,9,9,"6,5",,10,,,,
Metal,Technical Death,Gojira,From Mars To Sirius,The Heaviest Matter of the Universe,"8,5","8,75",5,,7,,,,
Metal,Technical Death,Gojira,From Mars To Sirius,To Sirius,"8,5",9,6,,,,,,
Metal,Technical Death,Gojira,From Mars To Sirius,Unicorn,8,"7,5",7,,5,7,,,
Metal,Technical Death,Gojira,From Mars To Sirius,Where Dragons Dwell,"8,25","8,75",5,,5,,,,
Metal,Technical Death,Gojira,From Mars To Sirius,World to Come,"8,5",8,6,,9,,,,
Metal,Technical Death,Gojira,L'enfant Sauvage,Born in Winter,"8,5",,"6,5",,10,7,,,
Metal,Technical Death,Gojira,L'enfant Sauvage,Explosia,"8,5",,"4,5",,10,,,,
Metal,Technical Death,Gojira,L'enfant Sauvage,L'Enfant Sauvage,"8,25",,"4,5",,10,,,,
Metal,Technical Death,Gojira,L'enfant Sauvage,Liquid Fire,8,,5,,,,,,
Metal,Technical Death,Gojira,L'enfant Sauvage,Mouth of Kala,"8,75",,"4,5",,,,,,
Metal,Technical Death,Gojira,L'enfant Sauvage,My Last Creation,"8,25",,5,,,,,,
Metal,Technical Death,Gojira,L'enfant Sauvage,Pain is a Master,"8,25",,5,,,,,,
Metal,Technical Death,Gojira,L'enfant Sauvage,Planned Obsolescence,"7,5",,"4,5",,,,,,
Metal,Technical Death,Gojira,L'enfant Sauvage,The Axe,"9,5",,"4,5",,,"6,75",,,
